Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E1,14/08/2026,20:00,Wolves,Blackburn,2,2,D,1,1,D,F Hallam,1.97,0.84,18,10,3,5,10,16,5,5,1,3,0,0,1.49,3.9,6.25,1.53,4.2,6,1.53,4.1,6,1.55,4.2,5.75,1.5,4,6,1.5,4.2,6,1.57,4.33,6.75,1.53,4.12,6.02,1.57,4.3,7,1.91,1.91,1.91,1.95,1.82,1.92,1.93,2.04,-1,1.93,1.93,1.93,1.93,1.88,1.87,1.99,1.98,1.42,4.2,7,1.5,4.2,6.5,1.45,4.4,7,1.51,4.33,6.25,1.44,4,6.5,1.44,4.2,6.5,1.52,4.4,7,1.48,4.27,6.5,1.54,4.5,7.6,1.8,2,1.9,2,1.82,1.91,1.92,2.06,-1,1.8,2.05,1.83,2.05,1.77,1.98,1.88,2.09
E1,15/08/2026,12:30,Bolton,Preston,2,1,H,2,0,H,A Herczeg,1.11,1.12,15,10,6,3,12,11,5,2,2,3,0,0,2.15,3.3,3.3,2.2,3.5,3.2,2.2,3.4,3.2,2.25,3.3,3.2,2.15,3.4,3.2,2.15,3.4,3.1,2.25,3.5,3.3,2.19,3.37,3.21,2.3,3.45,3.45,2,1.85,2,1.85,1.93,1.82,2.04,1.89,-0.25,1.93,1.93,1.93,1.93,1.87,1.87,1.96,1.99,2.3,3.25,3,2.38,3.4,3,2.38,3.3,3,2.4,3.3,2.95,2.3,3.2,3,2.3,3.3,3,2.4,3.4,3.25,2.34,3.29,3.02,2.5,3.45,3.2,2,1.8,2,1.8,1.98,1.77,2.12,1.88,-0.25,2.05,1.8,2.05,1.88,1.96,1.78,2.12,1.87
E1,15/08/2026,15:00,Bristol City,Millwall,0,2,A,0,1,A,L Smith,0.52,3.4,8,24,0,3,8,12,6,6,2,2,1,0,2.5,3.4,2.65,2.63,3.5,2.6,2.6,3.4,2.63,2.6,3.3,2.65,2.6,3.4,2.6,2.6,3.4,2.6,2.68,3.5,2.75,2.59,3.37,2.63,2.7,3.5,2.82,1.98,1.88,1.98,1.88,1.91,1.83,2.02,1.91,0,1.88,1.98,1.88,1.98,1.85,1.89,1.93,2.01,2.4,3.4,2.75,2.5,3.4,2.75,2.45,3.4,2.8,2.55,3.4,2.7,2.5,3.25,2.7,2.45,3.4,2.75,2.6,3.5,2.8,2.49,3.38,2.73,2.62,3.55,2.92,1.91,1.91,1.95,1.91,1.89,1.85,2,1.96,0,1.8,2.05,1.83,2.05,1.78,1.97,1.88,2.11
E1,15/08/2026,15:00,Charlton,Derby,2,1,H,0,1,A,B Speedie,0.97,1,13,15,4,4,7,16,5,4,0,3,0,0,2.65,3.2,2.65,2.75,3.3,2.63,2.7,3.2,2.63,2.65,3.25,2.7,2.63,3.3,2.63,2.63,3.25,2.63,2.75,3.3,2.75,2.66,3.23,2.66,2.9,3.35,2.78,2.2,1.67,2.2,1.73,2.12,1.67,2.26,1.75,0,1.93,1.93,1.93,1.93,1.87,1.87,2.03,1.95,2.65,3.1,2.75,2.63,3.25,2.75,2.63,3.13,2.8,2.65,3.1,2.8,2.63,3,2.75,2.63,3.2,2.75,2.75,3.25,2.8,2.65,3.13,2.74,2.8,3.25,2.92,2.38,1.57,2.38,1.65,2.23,1.61,2.38,1.7,0,1.88,1.98,1.9,1.98,1.85,1.89,1.94,2.03
E1,15/08/2026,15:00,Middlesbrough,Lincoln,2,1,H,0,1,A,R Madley,2.23,0.57,23,10,7,2,12,12,5,5,0,2,0,0,1.3,5.5,8,1.33,5,9.5,1.33,5,9.5,1.35,5.25,8.25,1.3,5,9.5,1.3,5,9,1.35,5.5,9.6,1.32,5.11,8.91,1.36,5.7,11,1.67,2.2,1.67,2.2,1.64,2.18,1.71,2.32,-1.5,1.98,1.88,1.98,1.88,1.92,1.81,2.06,1.89,1.49,4.5,5.75,1.5,4.2,6.5,1.5,4.2,6.5,1.5,4.5,6,1.44,4.2,6.5,1.44,4.33,6.5,1.52,4.5,6.66,1.49,4.34,6.28,1.53,4.5,7.6,1.8,2,1.8,2.1,1.75,2.02,1.85,2.16,-1,1.88,1.98,1.88,1.98,1.8,1.94,1.91,2.08
E1,15/08/2026,15:00,Norwich,West Brom,1,2,A,0,0,D,T Robinson,2.97,1.85,20,9,7,4,13,13,8,2,0,2,0,0,1.91,3.5,3.8,1.95,3.6,3.75,1.93,3.5,3.9,1.98,3.5,3.8,1.95,3.5,3.75,1.95,3.5,3.6,2,3.65,3.9,1.95,3.52,3.77,2.04,3.65,3.95,1.98,1.88,1.98,1.88,1.88,1.84,1.98,1.95,-0.5,1.98,1.88,1.98,1.88,1.9,1.82,2.04,1.92,1.91,3.5,3.8,1.95,3.6,3.75,1.95,3.6,3.75,1.98,3.6,3.6,1.95,3.5,3.75,1.95,3.6,3.75,2,3.6,4.1,1.96,3.54,3.72,2.04,3.7,4,1.91,1.91,1.93,1.91,1.86,1.88,1.98,1.99,-0.5,2,1.85,2,1.85,1.91,1.82,2.04,1.94
E1,15/08/2026,15:00,Portsmouth,QPR,1,3,A,1,3,A,W Finnie,2.18,2.07,17,13,6,6,9,13,6,3,0,1,0,0,2.25,3.4,3,2.3,3.4,3.1,,,,2.35,3.3,3,2.2,3.4,3,2.2,3.4,3,2.35,3.45,3.15,2.28,3.38,3.03,,,,2,1.85,2,1.85,1.93,1.81,,,-0.25,2.03,1.83,2.03,1.83,1.96,1.8,,,2.25,3.2,3.2,2.3,3.3,3.1,2.38,3.2,3.13,2.37,3.2,3,2.3,3.1,3,2.3,3.3,3,2.38,3.3,3.25,2.34,3.2,3.1,2.46,3.35,3.3,2.2,1.67,2.25,1.67,2.18,1.64,2.36,1.71,-0.25,2,1.85,2,1.85,1.95,1.79,2.09,1.9
E1,15/08/2026,15:00,Stoke,Swansea,1,2,A,1,1,D,O Langford,0.65,0.62,6,7,2,3,14,9,4,5,1,3,0,0,2.32,3.2,3.1,2.4,3.4,2.88,,,,2.4,3.3,2.9,2.45,3.3,2.88,2.45,3.25,2.8,2.46,3.4,3.1,2.41,3.3,2.92,,,,2.1,1.73,2.1,1.73,2.07,1.7,,,-0.25,2.05,1.8,2.05,1.8,2.04,1.75,,,2.25,3.4,3.1,2.25,3.5,3.1,2.3,3.4,3,2.25,3.4,3.1,2.25,3.25,3,2.25,3.4,3,2.33,3.5,3.1,2.28,3.37,3.05,2.4,3.5,3.25,1.91,1.91,1.95,1.91,1.92,1.82,2.04,1.92,-0.25,2.03,1.83,2.03,1.83,1.94,1.8,2.06,1.93
E1,15/08/2026,17:30,Sheffield United,Birmingham,0,0,D,0,0,D,G Ward,0.29,0.76,3,10,1,2,12,12,2,8,0,0,0,0,2.45,3.3,2.75,2.5,3.4,2.8,2.45,3.3,2.88,2.5,3.3,2.8,2.4,3.3,2.8,2.4,3.3,2.8,2.54,3.4,2.88,2.46,3.3,2.83,2.58,3.4,3,2.03,1.83,2.03,1.83,1.96,1.78,2.08,1.86,0,1.8,2.05,1.8,2.05,1.75,2,1.83,2.15,2.15,3.3,3.3,2.2,3.4,3.25,2.2,3.3,3.3,2.15,3.3,3.3,2.15,3.25,3.3,2.1,3.4,3.3,2.25,3.5,3.33,2.18,3.32,3.25,2.28,3.5,3.55,2.1,1.73,2.1,1.8,2.02,1.75,2.14,1.85,-0.25,1.9,1.95,1.93,1.95,1.87,1.87,1.95,2.02
E1,16/08/2026,13:30,Watford,Southampton,2,1,H,2,0,H,M Donohue,0.81,1.71,16,17,3,3,12,9,4,8,6,3,0,0,3.4,3.5,2.05,3.3,3.6,2.1,,,,3.3,3.6,2.1,3.4,3.5,2,3.4,3.5,2.05,3.4,3.65,2.16,3.31,3.53,2.09,,,,1.73,2.1,1.75,2.1,1.71,2.07,,,0.25,2,1.85,2,1.85,1.95,1.81,,,3.7,3.5,1.91,3.5,3.75,2,3.6,3.7,1.95,3.4,3.6,2.05,3.6,3.5,1.95,3.6,3.7,1.95,3.8,3.75,2.05,3.6,3.66,1.96,3.9,3.8,2.06,1.73,2.1,1.73,2.2,1.69,2.1,1.78,2.26,0.5,1.88,1.98,1.91,1.98,1.82,1.91,,
