Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
N1,07/08/2026,19:00,Cambuur,Excelsior,0,4,A,0,3,A,0.72,2.87,11,18,2,9,6,11,5,8,0,0,0,0,2.6,3.4,2.7,2.5,3.5,2.5,2.5,3.5,2.63,2.5,3.5,2.65,2.4,3.5,2.5,2.38,3.4,2.45,2.6,3.5,2.75,2.49,3.47,2.6,2.64,3.7,2.78,1.75,2.05,1.75,2.15,1.69,2.08,1.8,2.22,0,1.85,1.95,1.85,1.95,1.82,1.9,1.93,2.02,2.8,3.4,2.5,2.6,3.5,2.4,2.7,3.6,2.5,2.6,3.4,2.6,2.6,3.3,2.4,2.5,3.2,2.4,2.8,3.6,2.6,2.64,3.44,2.5,2.82,3.7,2.64,1.75,2.05,1.75,2.2,1.69,2.08,1.8,2.22,0,2,1.8,2,1.8,1.94,1.79,2.06,1.93
N1,08/08/2026,15:30,Nijmegen,Telstar,1,2,A,0,2,A,2.15,1.66,27,8,4,3,12,14,13,3,2,2,0,0,1.5,4.5,6,1.44,4.5,5.5,1.44,4.75,6,1.49,4.8,5.75,1.4,4.5,5.5,1.4,4.33,5.5,1.5,5,6,1.46,4.67,5.72,1.53,5.2,6,1.44,2.7,1.44,2.88,1.4,2.75,1.46,2.98,-1.25,2,1.8,2,1.8,1.95,1.78,2.05,1.85,1.45,4.75,6.25,1.44,4.6,5.5,1.45,5,6,1.49,5,5.5,1.36,4.75,5.5,1.4,4.5,5.5,1.49,5,6.25,1.44,4.87,5.81,1.51,5.2,6.8,1.33,3.4,1.36,3.4,1.34,3.1,1.39,3.45,-1.25,1.9,1.9,1.9,1.9,1.87,1.86,1.98,1.97
N1,08/08/2026,17:45,Go Ahead Eagles,Willem II,4,1,H,1,1,D,2.43,1.51,20,13,10,1,6,14,6,2,2,1,0,0,1.65,4.1,4.75,1.62,4,4.5,1.65,4.1,4.6,1.68,4,4.75,1.62,4,4.5,1.6,3.9,4.2,1.68,4.33,4.8,1.64,4.07,4.59,1.7,4,4.9,1.57,2.35,1.57,2.4,1.55,2.32,1.6,2.42,-0.75,1.8,2,1.8,2,1.78,1.95,1.88,2.01,1.5,4.5,6,1.5,4.33,5.5,1.5,4.6,6,1.53,4.4,5.75,1.44,4,5.5,1.44,4,5.5,1.55,4.6,6,1.5,4.35,5.75,1.56,4.6,6.6,1.5,2.5,1.53,2.5,1.51,2.43,1.59,2.66,-1,1.78,2.03,1.9,2.03,1.78,1.95,1.89,2.08
N1,08/08/2026,19:00,PSV Eindhoven,For Sittard,2,2,D,0,1,A,2.3,1.01,21,8,6,6,9,6,9,0,1,1,0,0,1.2,7.5,12,1.17,7,11,1.17,7.5,13,1.21,7.75,11,1.14,7.5,11,1.14,7,9.5,1.21,8.5,13,1.18,7.47,11.23,1.21,8.8,14.5,1.22,4.2,1.22,4.5,1.21,4.13,1.25,4.5,-2.25,1.98,1.83,1.98,1.83,1.94,1.79,1.98,1.93,1.2,7.5,13,1.14,7.5,13,1.17,8.5,13,1.2,8,11,1.1,8,13,1.11,7.5,12,1.2,9.5,15,1.16,8.07,12.63,1.17,9.8,20,1.2,4.33,1.2,4.8,1.18,4.37,1.23,5.1,-2.5,2.1,1.7,2.1,1.78,2.03,1.72,2.07,1.87
N1,08/08/2026,20:00,AZ Alkmaar,Den Haag,2,0,H,0,0,D,2.67,0.95,12,10,4,0,9,14,9,7,0,1,0,0,1.45,4.5,7,1.4,4.6,6,1.44,4.6,6.5,1.47,4.75,6,1.4,4.5,6,1.4,4.2,5.75,1.48,5,7,1.44,4.61,6.08,1.51,5,6.8,1.53,2.4,1.53,2.63,1.48,2.5,1.53,2.66,-1.25,1.95,1.85,1.95,1.85,1.91,1.81,1.99,1.92,1.36,5,8,1.33,5,7,1.33,5.5,8.5,1.39,5,7.5,1.3,4.75,7,1.33,4.6,6.5,1.4,5.5,8.5,1.35,5.09,7.53,1.42,5.4,8.4,1.4,2.88,1.48,2.88,1.41,2.71,1.47,3,-1.5,1.98,1.83,2,1.83,1.93,1.81,2.03,1.89
N1,09/08/2026,11:15,Sparta Rotterdam,Feyenoord,0,1,A,0,1,A,1.01,3.53,10,22,0,6,11,8,5,10,3,1,0,0,4.5,4.1,1.7,4.33,4,1.67,4.4,4.1,1.67,4.4,4.1,1.7,4.2,4,1.62,4,3.9,1.62,4.5,4.2,1.73,4.33,4.04,1.67,4.6,4.2,1.71,1.53,2.4,1.53,2.5,1.51,2.42,1.58,2.5,0.75,1.95,1.85,1.95,1.85,1.91,1.81,1.98,1.9,4.75,4.33,1.62,4.6,4.2,1.57,5,4.4,1.6,5,4.2,1.61,5,4,1.5,4.8,3.9,1.53,5.25,4.4,1.62,4.94,4.23,1.58,5.6,4.5,1.65,1.53,2.4,1.53,2.63,1.5,2.46,1.57,2.72,1,1.78,2.03,1.8,2.03,1.78,1.95,1.88,2.06
N1,09/08/2026,13:30,Groningen,Utrecht,2,1,H,1,0,H,1.54,2.27,16,14,5,7,12,17,5,1,0,2,0,0,2.3,3.5,3,2.3,3.4,2.8,2.3,3.5,2.9,2.35,3.5,2.9,2.2,3.5,2.8,2.15,3.4,2.7,2.35,3.5,3,2.28,3.45,2.88,2.36,3.55,3,1.8,2,1.8,2,1.75,1.98,1.78,2.06,-0.25,2,1.8,2,1.8,1.95,1.78,2.05,1.83,2.2,3.5,3.2,2.2,3.5,2.88,2.2,3.6,3.13,2.25,3.5,3.1,2.1,3.3,3,2.1,3.2,3,2.25,3.6,3.2,2.19,3.47,3.06,2.3,3.65,3.35,1.75,2.05,1.8,2.05,1.73,2.01,1.83,2.18,-0.25,1.9,1.9,1.9,1.9,1.85,1.87,1.98,1.99
N1,09/08/2026,13:30,Zwolle,Ajax,0,2,A,0,0,D,0.59,1.54,7,26,2,6,12,10,2,10,2,2,1,0,6,4.5,1.5,5.5,4.5,1.44,6,4.75,1.45,5.75,4.6,1.51,5.5,4.5,1.4,5.5,4.33,1.4,6,4.8,1.51,5.68,4.59,1.46,6.2,4.9,1.49,1.48,2.6,1.48,2.75,1.44,2.62,1.48,2.76,1,2.03,1.78,2.05,1.78,2.03,1.72,2.14,1.75,6.5,4.75,1.45,5.5,4.5,1.44,6.5,5,1.44,6,4.8,1.47,6,4.33,1.4,5.75,4.2,1.4,6.5,5,1.48,6,4.68,1.45,7.4,4.8,1.51,1.44,2.7,1.48,2.75,1.44,2.63,1.52,2.84,1.25,1.85,1.95,1.85,1.95,1.81,1.92,1.91,2.04
N1,09/08/2026,15:45,Heerenveen,Twente,1,0,H,0,0,D,0.39,1.77,7,18,4,3,7,7,4,8,2,1,0,0,3,3.8,2.2,2.88,3.75,2.1,2.9,3.8,2.15,3,3.8,2.15,2.88,3.8,2,2.8,3.75,2,3,3.8,2.2,2.93,3.78,2.13,2.94,4,2.22,1.48,2.6,1.48,2.63,1.45,2.58,1.51,2.7,0.25,1.9,1.9,1.9,1.9,1.85,1.87,1.92,1.96,3.3,3.9,2.1,3,3.75,2.05,3.2,4,2.05,3.1,3.75,2.1,3.1,3.6,1.95,3,3.5,1.95,3.3,4,2.1,3.12,3.78,2.05,3.55,4.1,2.1,1.48,2.6,1.48,2.8,1.45,2.61,1.52,2.84,0.5,1.75,2.05,1.8,2.05,1.74,2,1.88,2.12
N1,14/08/2026,19:00,Telstar,Sparta Rotterdam,1,3,A,0,1,A,1.42,3.08,7,16,1,9,13,17,7,5,1,1,0,0,2.15,3.6,3.2,2.15,3.6,2.88,2.1,3.7,3.1,2.15,3.7,3.1,2.05,3.6,3.1,2,3.4,3,2.16,3.75,3.2,2.12,3.65,3.05,2.2,3.9,3.35,1.57,2.35,1.58,2.5,1.54,2.37,1.64,2.52,-0.25,1.85,1.95,1.88,1.95,1.84,1.9,1.91,2.06,2.2,3.6,3.1,2.1,3.75,2.88,2.15,3.8,3.1,2.15,3.75,3,2,3.5,3.1,2,3.4,3,2.2,3.8,3.1,2.13,3.69,3.03,2.2,3.9,3.4,1.57,2.35,1.58,2.5,1.53,2.39,1.59,2.64,-0.5,2.15,1.68,2.15,1.73,2.1,1.68,2.2,1.82
