Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
SC0,31/07/2026,20:00,Dundee United,Rangers,1,1,D,1,0,H,N Walsh,1.64,1.46,11,21,3,6,16,14,5,10,1,3,0,0,5.75,4.33,1.46,5.5,4.6,1.53,5.75,4.5,1.5,5,4.5,1.55,5.5,4.5,1.5,5.5,4.75,1.5,5.75,4.75,1.57,5.41,4.48,1.51,6.4,4.7,1.58,1.53,2.5,1.53,2.63,1.47,2.54,1.56,2.72,1,2.03,1.83,2.03,1.83,1.95,1.79,2.05,1.89,4.75,3.8,1.62,4.6,4.2,1.67,4.75,4.1,1.65,4.33,4,1.7,4.5,3.8,1.67,4.5,4,1.65,5.4,4.4,1.73,4.69,4.06,1.63,5.1,4.3,1.75,1.62,2.3,1.62,2.5,1.56,2.31,1.66,2.48,0.75,2,1.85,2,1.85,1.94,1.79,2.05,1.93
SC0,01/08/2026,15:00,Falkirk,St Mirren,0,2,A,0,1,A,D Nicolson,0.71,1.64,10,15,1,5,18,18,7,7,0,4,0,0,1.96,3.6,3.5,2.05,3.6,3.5,2,3.4,3.4,2,3.4,3.5,2.05,3.3,3.6,2.05,3.2,3.5,2.05,3.6,3.7,1.99,3.47,3.49,2.08,3.65,3.65,1.83,2.03,1.83,2.03,1.75,1.98,1.87,2.06,-0.5,2.03,1.83,2.03,1.83,1.95,1.77,2.08,1.85,2.15,3.5,3.1,2.15,3.6,3.25,2.15,3.5,3.13,2.1,3.4,3.2,2.1,3.3,3.3,2.1,3.5,3.25,2.15,3.6,3.6,2.09,3.47,3.28,2.28,3.55,3.5,1.8,2,1.8,2,1.76,1.96,1.9,2.08,-0.25,1.93,1.93,1.93,1.93,1.84,1.89,1.96,2.02
SC0,01/08/2026,17:30,Aberdeen,Hearts,2,1,H,0,1,A,D Dickinson,2.66,1.83,11,21,3,4,11,17,4,6,3,2,0,1,3.2,3.4,2.15,3,3.6,2.25,3,3.4,2.15,3,3.6,2.15,3.1,3.5,2.2,3,3.4,2.15,3.2,3.7,2.25,3,3.5,2.18,3.3,3.75,2.3,1.73,2.1,1.73,2.1,1.7,2.05,1.78,2.14,0.25,1.93,1.93,1.93,1.93,1.86,1.88,1.95,2.01,3.1,3.3,2.25,2.88,3.6,2.3,2.9,3.5,2.3,2.8,3.4,2.35,2.9,3.4,2.3,2.88,3.6,2.25,3.2,3.6,2.4,2.88,3.46,2.3,3.15,3.6,2.44,1.8,2,1.8,2.05,1.74,1.99,1.85,2.14,0.25,1.85,2,1.85,2,1.79,1.94,1.89,2.1
SC0,02/08/2026,14:00,St Johnstone,Kilmarnock,4,3,H,1,1,D,J Beaton,1.77,0.79,15,7,5,5,6,13,6,3,2,2,0,0,2.15,3.4,3.2,2.25,3.6,3,2.15,3.4,3,2.15,3.4,3.1,2.25,3.2,3.2,2.25,3.1,3.1,2.25,3.6,3.25,2.17,3.4,3.08,2.42,3.5,3.3,1.83,2.03,1.83,2.03,1.76,1.97,1.89,2.02,-0.25,1.93,1.93,1.93,1.93,1.85,1.89,,,1.91,3.6,3.9,2.05,3.5,3.5,1.95,3.6,3.7,1.95,3.5,3.6,2,3.4,3.6,1.95,3.6,3.5,2.05,3.6,3.9,1.96,3.54,3.59,2.06,3.75,3.95,1.8,2,1.85,2,1.81,1.91,1.9,2.08,-0.5,1.95,1.9,2,1.9,1.94,1.79,2.05,1.94
SC0,02/08/2026,16:30,Hibernian,Motherwell,1,2,A,0,1,A,S McLean,1.92,2,19,9,6,5,14,13,9,2,1,3,0,0,2.2,3.4,3.1,2.25,3.6,3,2.2,3.4,2.9,2.25,3.4,2.95,2.3,3.2,3.1,2.25,3.1,3,2.3,3.6,3.1,2.24,3.38,2.97,2.32,3.45,3.1,1.85,2,1.85,2,1.78,1.94,1.81,1.99,-0.25,1.98,1.88,1.98,1.88,1.91,1.83,,,1.76,3.6,4.33,1.9,3.6,4,1.83,3.6,4.1,1.83,3.6,4,1.85,3.5,4,1.83,3.7,4,1.93,3.7,4.33,1.85,3.56,3.99,1.92,3.75,4.5,1.88,1.98,1.9,1.98,1.84,1.87,1.94,2.04,-0.5,1.83,2.03,1.9,2.03,1.8,1.92,1.92,2.06
SC0,03/08/2026,19:30,Celtic,Dundee,1,0,H,0,0,D,M MacDermid,2.55,0.47,18,11,4,3,9,7,9,4,1,1,0,0,1.17,7.5,10,1.2,7,13,1.17,6.5,12,1.22,6.75,10.5,1.22,5.5,11,1.22,5.25,9,1.22,7.5,13.5,1.19,6.62,11.31,1.22,7.8,13,1.36,3.2,1.36,3.25,1.33,3.09,1.39,3.4,-2,1.93,1.93,1.93,1.93,1.88,1.86,1.8,1.8,1.11,9.5,13,1.14,8.5,17,1.12,8.5,18,1.17,8.25,12,1.11,8.5,17,1.11,10,16,1.18,10,18,1.14,8.33,14.66,1.16,10,24,1.3,3.5,1.33,3.6,1.29,3.34,1.37,3.6,-2.25,1.83,2.03,1.83,2.03,1.79,1.95,1.94,2.02
SC0,08/08/2026,15:00,Dundee,Aberdeen,2,0,H,1,0,H,C Scott,2.22,0.7,18,9,7,3,9,12,5,4,1,3,0,0,2.65,3.5,2.45,2.75,3.5,2.5,2.63,3.3,2.45,2.6,3.4,2.5,2.6,3.4,2.6,2.5,3.3,2.5,2.78,3.5,2.6,2.65,3.36,2.48,2.8,3.5,2.62,1.88,1.98,1.88,1.98,1.8,1.91,1.9,2,0,2,1.85,2,1.85,1.96,1.79,2.01,1.89,2.85,3.5,2.3,2.8,3.5,2.4,2.88,3.4,2.38,2.7,3.3,2.45,2.88,3.3,2.38,2.8,3.5,2.3,2.88,3.5,2.5,2.8,3.39,2.38,3,3.55,2.52,1.91,1.91,1.91,2,1.81,1.91,1.94,2.02,0.25,1.8,2.05,1.8,2.05,1.76,1.99,1.83,2.16
SC0,08/08/2026,15:00,St Mirren,St Johnstone,1,0,H,0,0,D,R Hardie,1.36,1.13,13,9,4,2,11,8,5,2,2,1,0,0,2.25,3.3,3.1,2.38,3.5,2.88,2.25,3.4,2.88,2.3,3.3,2.9,2.4,3.1,3.1,2.38,3,3,2.4,3.5,3.1,2.31,3.33,2.94,2.4,3.5,3.25,1.9,1.95,1.91,2,1.83,1.89,1.88,2,-0.25,2.03,1.83,2.03,1.83,1.96,1.78,2.06,1.9,2.57,3.25,2.57,2.6,3.4,2.63,2.55,3.4,2.63,2.55,3.3,2.6,2.6,3.2,2.63,2.45,3.4,2.8,2.6,3.4,2.85,2.54,3.32,2.63,2.76,3.45,2.84,1.91,1.91,1.91,2,1.82,1.9,1.93,2.04,0,1.93,1.93,1.93,1.93,1.86,1.88,1.96,2.01
SC0,09/08/2026,13:30,Kilmarnock,Celtic,1,5,A,0,3,A,R Lee,0.85,5.64,10,33,6,16,12,10,5,7,1,0,0,0,7,5,1.37,7,5,1.4,7,4.8,1.36,6.25,5,1.4,7,5,1.33,6.5,5,1.36,7,5.25,1.43,6.55,4.98,1.38,7.2,5.4,1.41,1.44,2.75,1.44,2.8,1.42,2.69,1.47,2.82,1.25,2,1.85,2,1.85,1.94,1.81,2.05,1.83,7.5,5.25,1.33,8,5.5,1.33,8,5.25,1.33,6.5,5,1.4,7.5,5,1.33,7,5.5,1.33,8,5.5,1.4,7.19,5.25,1.35,8.8,5.8,1.39,1.44,2.75,1.44,2.8,1.41,2.71,1.49,2.96,1.5,1.88,1.98,1.88,1.98,1.8,1.93,1.89,2.06
SC0,09/08/2026,15:00,Hearts,Dundee United,4,0,H,2,0,H,K Clancy,2.1,0.54,12,10,7,0,11,11,7,2,1,2,0,0,1.57,4.33,4.75,1.62,4.2,5,1.62,3.8,4.8,1.62,4,4.8,1.57,4.2,5,1.57,4,4.8,1.65,4.33,5,1.61,4,4.85,1.73,4.3,4.9,1.73,2.1,1.73,2.1,1.7,2.05,1.76,2.2,-0.75,1.83,2.03,1.83,2.03,1.78,1.96,,,1.76,4,3.9,1.73,4,4.33,1.75,3.9,4.2,1.75,3.9,4.1,1.73,3.8,4.2,1.73,4,4,1.76,4,4.5,1.73,3.89,4.15,1.84,4.1,4.6,1.62,2.3,1.67,2.3,1.63,2.17,1.69,2.38,-0.5,1.83,2.03,1.83,2.1,1.72,2.05,1.83,2.19
SC0,09/08/2026,15:00,Motherwell,Falkirk,0,0,D,0,0,D,C Graham,0.89,0.44,11,10,1,1,17,16,2,2,2,2,0,0,1.79,3.75,4.1,1.83,3.75,4,1.8,3.6,3.9,1.85,3.6,3.9,1.8,3.75,3.8,1.8,3.6,3.8,1.85,3.75,4.1,1.82,3.67,3.89,1.87,3.9,4.1,1.73,2.1,1.73,2.1,1.7,2.05,1.76,2.08,-0.5,1.83,2.03,1.83,2.03,1.79,1.93,,,1.81,3.7,4,1.83,3.75,4,1.83,3.7,4,1.8,3.6,4.2,1.8,3.7,4,1.8,3.8,4,1.85,3.8,4.2,1.81,3.64,4.05,1.91,3.95,4.4,1.73,2.1,1.73,2.1,1.7,2.04,1.84,2.16,-0.5,1.85,2,1.85,2,1.79,1.95,1.91,2.08
SC0,09/08/2026,16:00,Rangers,Hibernian,1,2,A,0,1,A,D Robertson,2.05,1.75,25,8,9,2,12,12,7,4,1,1,0,0,1.49,4.33,5.5,1.53,4.5,5.5,1.5,4.2,5.5,1.55,4.2,5.5,1.57,4,5,1.57,3.9,5,1.57,4.5,5.5,1.52,4.23,5.35,1.58,4.5,5.6,1.57,2.38,1.57,2.4,1.53,2.36,1.58,2.4,-1,1.88,1.98,1.88,1.98,1.83,1.91,1.91,1.94,1.35,4.75,7.5,1.4,5,7.5,1.36,5,7.5,1.43,4.75,6.5,1.33,5,7.5,1.33,5,7,1.44,5,8.3,1.38,4.81,7.12,1.43,5.2,8.4,1.57,2.38,1.57,2.45,1.52,2.37,1.62,2.58,-1.25,1.83,2.03,1.83,2.03,1.78,1.97,1.93,2.03
SC0,22/08/2026,17:45,Dundee United,Dundee,0,2,A,0,1,A,D Dickinson,1.24,1.68,24,14,5,4,11,11,6,6,4,3,0,0,2.15,3.4,3.2,2.2,3.4,3.25,2.15,3.4,3,2.15,3.4,3.1,2.1,3.4,3.3,2.1,3.3,3.2,2.25,3.4,3.3,2.18,3.33,3.14,2.3,3.4,3.25,1.8,2,1.83,2,1.78,1.94,1.87,2.04,-0.25,1.93,1.93,1.93,1.93,1.89,1.85,1.99,1.93,1.91,3.5,3.8,2,3.75,3.5,2.1,3.6,3.25,1.95,3.5,3.6,1.91,3.5,3.75,1.91,3.7,3.6,2.15,3.75,3.8,1.99,3.53,3.52,2.02,3.85,4,1.73,2.1,1.8,2.1,1.73,2.01,1.83,2.18,-0.5,1.95,1.9,2.15,1.9,1.98,1.76,2.02,1.96
