date,competition,home_team,away_team,home_score,away_score,neutral,match_type
2014-06-12,WORLD_CUP,巴西,克罗地亚,3,1,true,OFFICIAL
2014-06-13,WORLD_CUP,智利,澳大利亚,3,1,true,OFFICIAL
2014-06-13,WORLD_CUP,西班牙,荷兰,1,5,true,OFFICIAL
2014-06-13,WORLD_CUP,墨西哥,喀麦隆,1,0,true,OFFICIAL
2014-06-14,WORLD_CUP,哥伦比亚,希腊,3,0,true,OFFICIAL
2014-06-14,WORLD_CUP,科特迪瓦,日本,2,1,true,OFFICIAL
2014-06-14,WORLD_CUP,英格兰,意大利,1,2,true,OFFICIAL
2014-06-14,WORLD_CUP,乌拉圭,哥斯达,1,3,true,OFFICIAL
2014-06-15,WORLD_CUP,阿根廷,波黑,2,1,true,OFFICIAL
2014-06-15,WORLD_CUP,瑞士,厄瓜多尔,2,1,true,OFFICIAL
2014-06-15,WORLD_CUP,法国,洪都拉斯,3,0,true,OFFICIAL
2014-06-16,WORLD_CUP,加纳,美国,1,2,true,OFFICIAL
2014-06-16,WORLD_CUP,伊朗,尼日利亚,0,0,true,OFFICIAL
2014-06-16,WORLD_CUP,德国,葡萄牙,4,0,true,OFFICIAL
2014-06-17,WORLD_CUP,俄罗斯,韩国,1,1,true,OFFICIAL
2014-06-17,WORLD_CUP,巴西,墨西哥,0,0,true,OFFICIAL
2014-06-17,WORLD_CUP,比利时,阿尔及利亚,2,1,true,OFFICIAL
2014-06-18,INTERNATIONAL_FRIENDLY,中国,北马其顿,2,0,false,INTERNATIONAL_FRIENDLY
2014-06-18,WORLD_CUP,澳大利亚,荷兰,2,3,true,OFFICIAL
2014-06-18,WORLD_CUP,喀麦隆,克罗地亚,0,4,true,OFFICIAL
2014-06-18,WORLD_CUP,西班牙,智利,0,2,true,OFFICIAL
2014-06-19,WORLD_CUP,日本,希腊,0,0,true,OFFICIAL
2014-06-19,WORLD_CUP,乌拉圭,英格兰,2,1,true,OFFICIAL
2014-06-19,WORLD_CUP,哥伦比亚,科特迪瓦,2,1,true,OFFICIAL
2014-06-20,WORLD_CUP,瑞士,法国,2,5,true,OFFICIAL
2014-06-20,WORLD_CUP,洪都拉斯,厄瓜多尔,1,2,true,OFFICIAL
2014-06-20,WORLD_CUP,意大利,哥斯达,0,1,true,OFFICIAL
2014-06-21,WORLD_CUP,德国,加纳,2,2,true,OFFICIAL
2014-06-21,WORLD_CUP,尼日利亚,波黑,1,0,true,OFFICIAL
2014-06-21,WORLD_CUP,阿根廷,伊朗,1,0,true,OFFICIAL
2014-06-22,INTERNATIONAL_FRIENDLY,中国,北马其顿,0,0,false,INTERNATIONAL_FRIENDLY
2014-06-22,WORLD_CUP,比利时,俄罗斯,1,0,true,OFFICIAL
2014-06-22,WORLD_CUP,韩国,阿尔及利亚,2,4,true,OFFICIAL
2014-06-22,WORLD_CUP,美国,葡萄牙,2,2,true,OFFICIAL
2014-06-23,WORLD_CUP,克罗地亚,墨西哥,1,3,true,OFFICIAL
2014-06-23,WORLD_CUP,荷兰,智利,2,0,true,OFFICIAL
2014-06-23,WORLD_CUP,喀麦隆,巴西,1,4,true,OFFICIAL
2014-06-23,WORLD_CUP,澳大利亚,西班牙,0,3,true,OFFICIAL
2014-06-24,WORLD_CUP,哥斯达,英格兰,0,0,true,OFFICIAL
2014-06-24,WORLD_CUP,日本,哥伦比亚,1,4,true,OFFICIAL
2014-06-24,WORLD_CUP,意大利,乌拉圭,0,1,true,OFFICIAL
2014-06-24,WORLD_CUP,希腊,科特迪瓦,2,1,true,OFFICIAL
2014-06-25,WORLD_CUP,波黑,伊朗,3,1,true,OFFICIAL
2014-06-25,WORLD_CUP,尼日利亚,阿根廷,2,3,true,OFFICIAL
2014-06-25,WORLD_CUP,厄瓜多尔,法国,0,0,true,OFFICIAL
2014-06-25,WORLD_CUP,洪都拉斯,瑞士,0,3,true,OFFICIAL
2014-06-26,WORLD_CUP,阿尔及利亚,俄罗斯,1,1,true,OFFICIAL
2014-06-26,WORLD_CUP,韩国,比利时,0,1,true,OFFICIAL
2014-06-26,WORLD_CUP,美国,德国,0,1,true,OFFICIAL
2014-06-26,WORLD_CUP,葡萄牙,加纳,2,1,true,OFFICIAL
2014-06-28,WORLD_CUP,巴西,智利,1,1,true,OFFICIAL
2014-06-28,WORLD_CUP,哥伦比亚,乌拉圭,2,0,true,OFFICIAL
2014-06-29,WORLD_CUP,哥斯达,希腊,1,1,true,OFFICIAL
2014-06-29,WORLD_CUP,荷兰,墨西哥,2,1,true,OFFICIAL
2014-06-30,WORLD_CUP,法国,尼日利亚,2,0,true,OFFICIAL
2014-06-30,WORLD_CUP,德国,阿尔及利亚,0,0,true,OFFICIAL
2014-07-01,WORLD_CUP,阿根廷,瑞士,0,0,true,OFFICIAL
2014-07-01,WORLD_CUP,比利时,美国,0,0,true,OFFICIAL
2014-07-04,WORLD_CUP,巴西,哥伦比亚,2,1,true,OFFICIAL
2014-07-04,WORLD_CUP,法国,德国,0,1,true,OFFICIAL
2014-07-05,WORLD_CUP,荷兰,哥斯达,0,0,true,OFFICIAL
2014-07-05,WORLD_CUP,阿根廷,比利时,1,0,true,OFFICIAL
2014-07-08,WORLD_CUP,巴西,德国,1,7,true,OFFICIAL
2014-07-09,WORLD_CUP,荷兰,阿根廷,0,0,true,OFFICIAL
2014-07-12,WORLD_CUP,巴西,荷兰,0,3,true,OFFICIAL
2014-07-13,WORLD_CUP,德国,阿根廷,0,0,true,OFFICIAL
2014-07-14,INTERNATIONAL_FRIENDLY,卡塔尔,印度尼西亚,2,2,false,INTERNATIONAL_FRIENDLY
2014-07-15,CHAMPIONS_LEAGUE,布拉迪斯,新圣徒,1,0,false,OFFICIAL
2014-07-15,CHAMPIONS_LEAGUE,雷克雅,凯尔特人,0,1,false,OFFICIAL
2014-07-16,CHAMPIONS_LEAGUE,谢里夫,苏捷斯卡,2,0,false,OFFICIAL
2014-07-16,CHAMPIONS_LEAGUE,巴特,科尔察,0,0,false,OFFICIAL
2014-07-16,CHAMPIONS_LEAGUE,卢多戈雷,迪德朗日,4,0,false,OFFICIAL
2014-07-17,BRAZIL_SERIE_A,弗拉门戈,巴竞技,1,2,false,OFFICIAL
2014-07-17,BRAZIL_SERIE_A,累体育,博塔弗戈,1,0,false,OFFICIAL
2014-07-17,BRAZIL_SERIE_A,科里蒂巴,费古埃伦,0,2,false,OFFICIAL
2014-07-17,BRAZIL_SERIE_A,克里西,弗鲁米嫩塞,3,2,false,OFFICIAL
2014-07-17,BRAZIL_SERIE_A,格雷米奥,戈亚斯,0,0,false,OFFICIAL
2014-07-17,BRAZIL_SERIE_A,巴伊亚,圣保罗,0,2,false,OFFICIAL
2014-07-17,CHAMPIONS_LEAGUE,卢多戈雷茨,迪德朗日,4,0,false,OFFICIAL
2014-07-17,EUROPA_LEAGUE,特伦钦,伏伊伏丁,4,0,false,OFFICIAL
2014-07-18,BRAZIL_SERIE_A,科林蒂安,巴西国际,2,1,false,OFFICIAL
2014-07-18,BRAZIL_SERIE_A,桑托斯,帕尔梅拉斯,2,0,false,OFFICIAL
2014-07-18,BRAZIL_SERIE_A,克鲁塞罗,维多利亚,3,1,false,OFFICIAL
2014-07-18,EUROPA_LEAGUE,邓多克,斯海杜克,0,2,false,OFFICIAL
2014-07-18,EUROPA_LEAGUE,里耶卡,费伦茨瓦罗斯,1,0,false,OFFICIAL
2014-07-20,BRAZIL_SERIE_A,米竞技,巴伊亚,1,1,false,OFFICIAL
2014-07-20,BRAZIL_SERIE_A,圣保罗,沙佩科,0,1,false,OFFICIAL
2014-07-20,BRAZIL_SERIE_A,博塔弗戈,科里蒂巴,1,0,false,OFFICIAL
2014-07-20,BRAZIL_SERIE_A,费古埃伦,格雷米奥,0,1,false,OFFICIAL
2014-07-21,BRAZIL_SERIE_A,维多利亚,科林蒂安,0,0,false,OFFICIAL
2014-07-21,BRAZIL_SERIE_A,巴竞技,克里西,2,0,false,OFFICIAL
2014-07-21,BRAZIL_SERIE_A,帕尔梅拉斯,克鲁塞罗,1,2,false,OFFICIAL
2014-07-21,BRAZIL_SERIE_A,巴西国际,弗拉门戈,4,0,false,OFFICIAL
2014-07-21,BRAZIL_SERIE_A,弗鲁米嫩塞,桑托斯,1,0,false,OFFICIAL
2014-07-21,BRAZIL_SERIE_A,戈亚斯,累体育,0,0,false,OFFICIAL
2014-07-22,CHAMPIONS_LEAGUE,苏捷斯卡,谢里夫,0,3,false,OFFICIAL
2014-07-22,CHAMPIONS_LEAGUE,凯尔特人,雷克雅,4,0,false,OFFICIAL
2014-07-22,CHAMPIONS_LEAGUE,新圣徒,布拉迪斯,0,2,false,OFFICIAL
2014-07-22,CHAMPIONS_LEAGUE,迪德朗日,卢多戈雷,1,1,false,OFFICIAL
2014-07-23,CHAMPIONS_LEAGUE,迪德朗日,卢多戈雷茨,1,1,false,OFFICIAL
2014-07-23,CHAMPIONS_LEAGUE,科尔察,巴特,1,1,false,OFFICIAL
2014-07-23,CLUB_OFFICIAL_OTHER,奥林匹奥,拉斐拉,0,0,false,OFFICIAL
2014-07-24,CLUB_FRIENDLY,利物浦,罗马,0,1,false,CLUB_FRIENDLY
2014-07-24,CLUB_OFFICIAL_OTHER,塞阿拉,沙佩科,1,1,false,OFFICIAL
2014-07-24,CLUB_OFFICIAL_OTHER,科林蒂安,巴伊亚,3,0,false,OFFICIAL
2014-07-24,CLUB_OFFICIAL_OTHER,阿瓦伊,帕尔梅拉斯,0,2,false,OFFICIAL
2014-07-24,CLUB_OFFICIAL_OTHER,庞普雷塔,瓦斯科达伽马,0,2,false,OFFICIAL
2014-07-25,CLUB_FRIENDLY,奥林匹亚科斯,AC米兰,3,0,false,CLUB_FRIENDLY
2014-07-25,EUROPA_LEAGUE,费伦茨瓦罗斯,里耶卡,1,2,false,OFFICIAL
2014-07-25,EUROPA_LEAGUE,伏伊伏丁,特伦钦,3,0,false,OFFICIAL
2014-07-25,EUROPA_LEAGUE,斯海杜克,邓多克,1,2,false,OFFICIAL
2014-07-26,CLUB_FRIENDLY,伯恩茅斯,南安普敦,0,1,false,CLUB_FRIENDLY
2014-07-26,CLUB_FRIENDLY,莱比锡红牛,女王巡游,2,0,false,CLUB_FRIENDLY
2014-07-26,CLUB_FRIENDLY,布伦特福德,尼斯,3,2,false,CLUB_FRIENDLY
2014-07-26,CLUB_OFFICIAL_OTHER,拉普体操,阿青年人,0,0,false,OFFICIAL
2014-07-27,BRAZIL_SERIE_A,桑托斯,沙佩科,3,0,false,OFFICIAL
2014-07-27,BRAZIL_SERIE_A,克鲁塞罗,费古埃伦,5,0,false,OFFICIAL
2014-07-27,BRAZIL_SERIE_A,巴伊亚,巴西国际,0,1,false,OFFICIAL
2014-07-27,BRAZIL_SERIE_A,克里西,维多利亚,1,3,false,OFFICIAL
2014-07-27,CLUB_FRIENDLY,国际米兰,皇家马德里,1,1,false,CLUB_FRIENDLY
2014-07-27,CLUB_FRIENDLY,莱切斯特,埃弗顿,1,0,false,CLUB_FRIENDLY
2014-07-27,CLUB_FRIENDLY,罗马,曼彻斯特联,2,3,false,CLUB_FRIENDLY
2014-07-27,CLUB_OFFICIAL_OTHER,博卡,飓风,0,2,false,OFFICIAL
2014-07-28,BRAZIL_SERIE_A,累体育,米竞技,2,1,false,OFFICIAL
2014-07-28,BRAZIL_SERIE_A,弗拉门戈,博塔弗戈,1,0,false,OFFICIAL
